question,answer
"I am experiencing skin rash, dischromic  patches, nodal skin eruptions, and itching. What condition does this match?",Fungal infection
"My symptoms are dischromic  patches, skin rash, and nodal skin eruptions. What could this be?",Fungal infection
"I am experiencing dischromic  patches, nodal skin eruptions, and itching. What condition does this match?",Fungal infection
"I am experiencing skin rash, dischromic  patches, and itching. What condition does this match?",Fungal infection
"My symptoms are skin rash, nodal skin eruptions, and itching. What could this be?",Fungal infection
"My symptoms are skin rash, nodal skin eruptions, and dischromic  patches. What could this be?",Fungal infection
"I have these symptoms: dischromic  patches, nodal skin eruptions, and itching. What do I have?",Fungal infection
"I am experiencing dischromic  patches, skin rash, and itching. What condition does this match?",Fungal infection
"My symptoms are itching, skin rash, and nodal skin eruptions. What could this be?",Fungal infection
"I have these symptoms: dischromic  patches, skin rash, itching, and nodal skin eruptions. What do I have?",Fungal infection
"My symptoms are shivering, watering from eyes, chills, and continuous sneezing. What could this be?",Allergy
"I am experiencing chills, watering from eyes, and shivering. What condition does this match?",Allergy
"My symptoms are watering from eyes, continuous sneezing, and chills. What could this be?",Allergy
"I have these symptoms: watering from eyes, shivering, and continuous sneezing. What do I have?",Allergy
"My symptoms are continuous sneezing, shivering, and chills. What could this be?",Allergy
"I have these symptoms: chills, watering from eyes, and shivering. What do I have?",Allergy
"I have these symptoms: chills, watering from eyes, and continuous sneezing. What do I have?",Allergy
"My symptoms are shivering, continuous sneezing, and watering from eyes. What could this be?",Allergy
"I am experiencing continuous sneezing, shivering, and chills. What condition does this match?",Allergy
"My symptoms are shivering, chills, continuous sneezing, and watering from eyes. What could this be?",Allergy
"I am experiencing cough, vomiting, ulcers on tongue, chest pain, acidity, and stomach pain. What condition does this match?",GERD
"I am experiencing vomiting, ulcers on tongue, chest pain, stomach pain, and cough. What condition does this match?",GERD
"I am experiencing acidity, cough, stomach pain, vomiting, and chest pain. What condition does this match?",GERD
"I have these symptoms: acidity, ulcers on tongue, chest pain, cough, and stomach pain. What do I have?",GERD
"I am experiencing ulcers on tongue, stomach pain, chest pain, acidity, and vomiting. What condition does this match?",GERD
"My symptoms are vomiting, acidity, ulcers on tongue, cough, and stomach pain. What could this be?",GERD
"My symptoms are acidity, cough, ulcers on tongue, vomiting, and chest pain. What could this be?",GERD
"I have these symptoms: cough, vomiting, chest pain, stomach pain, and ulcers on tongue. What do I have?",GERD
"My symptoms are stomach pain, cough, chest pain, acidity, and vomiting. What could this be?",GERD
"I have these symptoms: acidity, cough, chest pain, stomach pain, and ulcers on tongue. What do I have?",GERD
"I have these symptoms: nausea, yellowish skin, vomiting, yellowing of eyes, loss of appetite, itching, and abdominal pain. What do I have?",Chronic cholestasis
"I am experiencing abdominal pain, yellowish skin, yellowing of eyes, nausea, vomiting, and loss of appetite. What condition does this match?",Chronic cholestasis
"My symptoms are loss of appetite, yellowish skin, abdominal pain, nausea, yellowing of eyes, and itching. What could this be?",Chronic cholestasis
"My symptoms are vomiting, nausea, itching, loss of appetite, abdominal pain, and yellowing of eyes. What could this be?",Chronic cholestasis
"I am experiencing yellowing of eyes, loss of appetite, vomiting, yellowish skin, itching, and abdominal pain. What condition does this match?",Chronic cholestasis
